DateTime,Open,High,Low,Close,EMA21,EMA75,EMA150,StochD
03/06/2023 21:00:00,14751.25,14761.75,14741.75,14744.75,14743.30,14738.54,14736.33,23.53
03/06/2023 22:00:00,14744.25,14757.50,14741.00,14755.50,14744.41,14738.98,14736.58,22.90
03/06/2023 23:00:00,14755.75,14766.75,14752.75,14757.75,14745.62,14739.48,14736.86,24.27
03/07/2023 00:00:00,14757.75,14759.50,14743.75,14746.75,14745.72,14739.67,14736.99,26.71
03/07/2023 01:00:00,14746.75,14750.25,14729.00,14730.75,14744.36,14739.43,14736.91,28.93
03/07/2023 02:00:00,14730.75,14741.50,14721.75,14725.75,14742.67,14739.07,14736.76,30.17
03/07/2023 03:00:00,14725.75,14756.25,14723.25,14747.75,14743.13,14739.30,14736.91,30.44
03/07/2023 04:00:00,14748.00,14772.25,14738.50,14739.75,14742.83,14739.31,14736.95,30.34
03/07/2023 05:00:00,14739.50,14758.50,14738.75,14753.00,14743.75,14739.67,14737.16,30.06
03/07/2023 06:00:00,14752.50,14761.50,14735.50,14741.00,14743.50,14739.71,14737.21,29.46
03/07/2023 07:00:00,14740.75,14748.25,14731.50,14737.75,14742.98,14739.66,14737.22,28.66
03/07/2023 08:00:00,14737.75,14754.25,14734.25,14735.50,14742.30,14739.55,14737.19,27.71
03/07/2023 09:00:00,14735.50,14758.00,14703.50,14724.50,14740.68,14739.15,14737.03,26.78
03/07/2023 10:00:00,14724.75,14724.75,14572.50,14606.00,14728.44,14735.65,14735.29,25.16
03/07/2023 11:00:00,14606.25,14654.75,14599.25,14614.00,14718.03,14732.45,14733.68,23.06
03/07/2023 12:00:00,14614.25,14700.75,14608.75,14650.25,14711.87,14730.28,14732.58,20.99
03/07/2023 13:00:00,14650.25,14653.50,14559.75,14574.00,14699.34,14726.17,14730.48,18.85
03/07/2023 14:00:00,14574.50,14594.25,14532.75,14536.75,14684.56,14721.19,14727.91,16.27
03/07/2023 15:00:00,14537.25,14577.25,14534.25,14560.00,14673.23,14716.94,14725.69,13.72
03/07/2023 16:00:00,14560.00,14578.25,14556.50,14565.50,14663.44,14712.96,14723.57,12.31
03/07/2023 18:00:00,14565.25,14575.00,14560.75,14567.00,14654.67,14709.12,14721.49,12.17
03/07/2023 19:00:00,14567.00,14571.50,14542.00,14556.50,14645.75,14705.10,14719.31,12.21
03/07/2023 20:00:00,14556.75,14574.50,14551.00,14560.50,14638.00,14701.30,14717.20,11.45
03/07/2023 21:00:00,14560.25,14567.75,14529.00,14537.50,14628.86,14696.99,14714.82,10.41
03/07/2023 22:00:00,14537.75,14548.00,14533.75,14536.25,14620.44,14692.76,14712.46,9.61
03/07/2023 23:00:00,14536.25,14559.25,14535.75,14552.75,14614.29,14689.07,14710.34,9.48
03/08/2023 00:00:00,14552.75,14564.50,14547.25,14547.75,14608.24,14685.35,14708.19,9.18
03/08/2023 01:00:00,14547.50,14559.50,14538.75,14557.50,14603.63,14681.99,14706.19,8.70
03/08/2023 02:00:00,14558.00,14561.25,14543.75,14545.25,14598.32,14678.39,14704.06,8.14
03/08/2023 03:00:00,14545.00,14582.00,14544.00,14574.25,14596.13,14675.65,14702.34,8.19
03/08/2023 04:00:00,14574.00,14585.25,14550.00,14574.00,14594.12,14672.97,14700.64,9.09
03/08/2023 05:00:00,14574.00,14590.25,14563.00,14586.75,14593.45,14670.71,14699.13,11.18
03/08/2023 06:00:00,14587.25,14607.25,14580.00,14580.75,14592.30,14668.34,14697.57,13.53
03/08/2023 07:00:00,14580.75,14588.00,14542.25,14559.75,14589.34,14665.48,14695.74,15.44
03/08/2023 08:00:00,14559.25,14586.25,14535.75,14568.00,14587.40,14662.92,14694.05,16.56
03/08/2023 09:00:00,14568.00,14606.50,14545.50,14569.00,14585.72,14660.44,14692.39,17.59
03/08/2023 10:00:00,14568.75,14615.50,14499.00,14581.50,14585.34,14658.37,14690.92,19.22
03/08/2023 11:00:00,14581.75,14645.00,14552.50,14634.50,14589.81,14657.74,14690.18,22.90
03/08/2023 12:00:00,14635.50,14643.00,14551.00,14583.00,14589.19,14655.77,14688.76,26.87
03/08/2023 13:00:00,14583.50,14591.00,14532.25,14546.00,14585.26,14652.88,14686.87,30.38
03/08/2023 14:00:00,14546.50,14598.00,14541.75,14570.00,14583.88,14650.70,14685.32,33.24
03/08/2023 15:00:00,14570.25,14636.00,14548.25,14621.50,14587.30,14649.93,14684.47,38.49
03/08/2023 16:00:00,14621.50,14630.50,14613.00,14628.25,14591.02,14649.36,14683.73,46.74
03/08/2023 18:00:00,14613.50,14632.50,14613.00,14615.50,14593.25,14648.47,14682.83,55.37
03/08/2023 19:00:00,14616.00,14617.00,14575.75,14602.25,14594.06,14647.26,14681.76,60.98
03/08/2023 20:00:00,14602.75,14610.00,14573.75,14575.50,14592.38,14645.37,14680.35,63.72
03/08/2023 21:00:00,14575.50,14591.00,14572.25,14586.75,14591.86,14643.82,14679.11,65.81
03/08/2023 22:00:00,14586.25,14596.25,14578.75,14592.00,14591.88,14642.46,14677.96,68.46
03/08/2023 23:00:00,14592.50,14595.50,14586.00,14594.50,14592.12,14641.20,14676.85,69.71
03/09/2023 00:00:00,14594.75,14608.75,14591.75,14602.00,14593.01,14640.17,14675.86,68.69
03/09/2023 01:00:00,14602.75,14608.50,14598.00,14599.50,14593.60,14639.10,14674.85,66.43
03/09/2023 02:00:00,14600.00,14600.00,14576.25,14584.25,14592.75,14637.65,14673.65,64.47
03/09/2023 03:00:00,14584.00,14589.00,14554.00,14568.50,14590.55,14635.83,14672.26,63.13
03/09/2023 04:00:00,14568.50,14568.75,14533.50,14538.25,14585.79,14633.27,14670.48,60.73
03/09/2023 05:00:00,14538.00,14551.25,14526.50,14548.25,14582.38,14631.03,14668.86,57.49
03/09/2023 06:00:00,14548.25,14567.50,14545.50,14566.25,14580.91,14629.32,14667.50,53.56
03/09/2023 07:00:00,14565.75,14569.25,14545.50,14557.00,14578.74,14627.42,14666.04,49.75
03/09/2023 08:00:00,14556.50,14648.50,14542.25,14645.25,14584.79,14627.89,14665.76,48.74
03/09/2023 09:00:00,14645.50,14729.75,14620.75,14717.25,14596.83,14630.24,14666.45,50.37
03/09/2023 10:00:00,14717.25,14744.25,14672.75,14692.50,14605.53,14631.88,14666.79,54.97
03/09/2023 11:00:00,14692.00,14706.50,14671.25,14676.25,14611.96,14633.05,14666.92,60.18
03/09/2023 12:00:00,14676.25,14681.75,14606.50,14623.50,14613.01,14632.80,14666.34,64.18
03/09/2023 13:00:00,14623.50,14634.75,14491.75,14505.50,14603.23,14629.45,14664.21,64.75
03/09/2023 14:00:00,14506.00,14514.00,14458.00,14464.00,14590.57,14625.09,14661.56,61.54
03/09/2023 15:00:00,14464.25,14473.25,14367.50,14397.25,14573.00,14619.10,14658.06,53.53
03/09/2023 16:00:00,14397.00,14413.25,14381.00,14399.50,14557.23,14613.32,14654.63,43.36
03/09/2023 18:00:00,14399.25,14402.50,14345.50,14376.25,14540.77,14607.08,14650.95,31.59
03/09/2023 19:00:00,14376.25,14382.75,14350.75,14355.25,14523.91,14600.45,14647.03,20.94
03/09/2023 20:00:00,14355.25,14375.00,14332.50,14356.75,14508.71,14594.04,14643.19,12.55
