DateTime,Last
11/28/2025 07:50:04,24736.25
11/28/2025 07:50:04,24700.00
11/28/2025 07:50:04,24714.00
11/28/2025 07:50:04,24722.25
11/28/2025 07:50:04,24712.75
11/28/2025 07:50:04,24699.50
11/28/2025 07:50:04,24709.50
11/28/2025 07:50:04,24688.25
11/28/2025 07:50:04,24679.50
11/28/2025 07:50:04,24663.25
11/28/2025 07:50:04,24677.00
11/28/2025 07:50:04,24699.25
11/28/2025 07:50:04,24722.50
11/28/2025 07:50:04,24730.25
11/28/2025 07:50:04,24745.25
11/28/2025 07:50:04,24748.00
11/28/2025 07:50:04,24745.00
11/28/2025 07:50:04,24736.25
11/28/2025 07:50:04,24737.50
11/28/2025 07:50:04,24747.50
11/28/2025 07:50:04,24756.75
11/28/2025 07:50:04,24743.75
11/28/2025 07:50:04,24729.50
11/28/2025 07:50:04,24716.75
11/28/2025 07:50:04,24715.00
11/28/2025 07:50:04,24719.00
11/28/2025 07:50:04,24717.75
11/28/2025 07:50:04,24717.50
11/28/2025 07:50:04,24729.50
11/28/2025 07:50:04,24751.25
11/28/2025 07:50:04,24756.75
11/28/2025 07:50:04,24749.75
11/28/2025 07:50:04,24741.25
11/28/2025 07:50:04,24723.00
11/28/2025 07:50:04,24724.50
11/28/2025 07:50:04,24733.00
11/28/2025 07:50:04,24748.75
11/28/2025 07:50:04,24738.50
11/28/2025 07:50:04,24718.25
11/28/2025 07:50:04,24722.25
11/28/2025 07:50:04,24731.50
11/28/2025 07:50:04,24728.75
11/28/2025 07:50:04,24737.00
11/28/2025 07:50:04,24739.50
11/28/2025 07:50:04,24756.25
11/28/2025 07:50:04,24753.50
11/28/2025 07:50:04,24749.00
11/28/2025 07:50:04,24736.00
11/28/2025 07:50:04,24728.00
11/28/2025 07:50:04,24741.75
11/28/2025 07:50:04,24755.50
11/28/2025 07:50:04,24749.25
11/28/2025 07:50:04,24746.00
11/28/2025 07:50:04,24743.50
11/28/2025 07:50:04,24736.75
11/28/2025 07:50:04,24747.50
11/28/2025 07:50:04,24730.50
11/28/2025 07:50:04,24724.75
11/28/2025 07:50:04,24731.00
11/28/2025 07:50:04,24731.75
11/28/2025 07:50:04,24732.75
11/28/2025 07:50:04,24744.75
11/28/2025 07:50:04,24737.50
11/28/2025 07:50:04,24719.50
11/28/2025 07:50:04,24728.75
11/28/2025 07:50:04,24705.00
11/28/2025 07:50:04,24714.75
11/28/2025 07:50:04,24717.25
11/28/2025 07:50:04,24704.00
11/28/2025 07:50:04,24717.00
11/28/2025 07:50:04,24718.00
11/28/2025 07:50:04,24710.00
11/28/2025 07:50:04,24727.00
11/28/2025 07:50:04,24732.50
11/28/2025 07:50:04,24747.50
11/28/2025 07:50:04,24757.00
11/28/2025 07:50:04,24734.75
11/28/2025 07:50:04,24706.75
11/28/2025 07:50:04,24698.00
11/28/2025 07:50:04,24686.50
11/28/2025 07:50:04,24685.00
11/28/2025 07:50:04,24677.00
11/28/2025 07:50:04,24676.25
11/28/2025 07:50:04,24670.25
11/28/2025 07:50:04,24680.75
11/28/2025 07:50:04,24685.75
11/28/2025 07:50:04,24714.25
11/28/2025 07:50:04,24732.00
11/28/2025 07:50:04,24754.75
11/28/2025 07:50:04,24776.75
11/28/2025 07:50:04,24780.00
11/28/2025 07:50:04,24779.00
11/28/2025 07:50:04,24778.50
11/28/2025 07:50:04,24791.00
11/28/2025 07:50:04,24798.50
11/28/2025 07:50:04,24816.50
11/28/2025 07:50:04,24824.50
11/28/2025 07:50:04,24812.25
11/28/2025 07:50:04,24803.75
11/28/2025 07:50:04,24792.00
11/28/2025 07:50:04,24781.50
11/28/2025 07:50:04,24767.00
11/28/2025 07:50:04,24755.50
11/28/2025 07:50:04,24753.25
11/28/2025 07:50:04,24739.25
11/28/2025 07:50:04,24753.75
11/28/2025 07:50:04,24730.25
11/28/2025 07:50:04,24743.00
11/28/2025 07:50:04,24724.50
11/28/2025 07:50:04,24742.00
11/28/2025 07:50:04,24744.00
11/28/2025 07:50:04,24735.50
11/28/2025 07:50:04,24758.25
11/28/2025 07:50:04,24769.00
11/28/2025 07:50:04,24777.50
11/28/2025 07:50:04,24781.50
11/28/2025 07:50:04,24765.50
11/28/2025 07:50:04,24770.75
11/28/2025 07:50:04,24772.50
11/28/2025 07:50:04,24746.75
11/28/2025 07:50:04,24730.25
11/28/2025 07:50:04,24760.75
11/28/2025 07:50:04,24772.50
11/28/2025 07:50:04,24756.50
11/28/2025 07:50:04,24734.75
11/28/2025 07:50:04,24740.50
11/28/2025 07:50:04,24723.00
11/28/2025 07:50:04,24714.25
11/28/2025 07:50:04,24730.50
11/28/2025 07:50:04,24757.75
11/28/2025 07:50:04,24754.75
11/28/2025 07:50:04,24735.75
11/28/2025 07:50:04,24719.50
11/28/2025 07:50:04,24703.25
11/28/2025 07:50:04,24698.25
11/28/2025 07:50:04,24684.75
11/28/2025 07:50:04,24688.50
11/28/2025 07:50:04,24680.25
11/28/2025 07:50:04,24675.25
11/28/2025 07:50:04,24661.75
11/28/2025 07:50:04,24654.25
11/28/2025 07:50:04,24668.50
11/28/2025 07:50:04,24667.75
11/28/2025 07:50:04,24678.75
11/28/2025 07:50:04,24667.50
11/28/2025 07:50:04,24664.00
11/28/2025 07:50:04,24660.75
11/28/2025 07:50:04,24667.00
11/28/2025 07:50:04,24655.50
11/28/2025 07:50:04,24650.00
11/28/2025 07:50:04,24658.25
11/28/2025 07:50:04,24681.50
11/28/2025 07:50:04,24691.75
11/28/2025 07:50:04,24708.00
11/28/2025 07:50:04,24717.50
11/28/2025 07:50:04,24722.75
11/28/2025 07:50:04,24723.00
11/28/2025 07:50:04,24719.75
11/28/2025 07:50:04,24709.75
11/28/2025 07:50:04,24688.00
11/28/2025 07:50:04,24709.25
11/28/2025 07:50:04,24678.75
11/28/2025 07:50:04,24677.50
11/28/2025 07:50:04,24656.00
11/28/2025 07:50:04,24641.75
11/28/2025 07:50:04,24629.25
11/28/2025 07:50:04,24626.00
11/28/2025 07:50:04,24629.00
11/28/2025 07:50:04,24638.25
11/28/2025 07:50:04,24656.00
11/28/2025 07:50:04,24644.75
11/28/2025 07:50:04,24653.25
11/28/2025 07:50:04,24655.75
11/28/2025 07:50:04,24667.50
11/28/2025 07:50:04,24665.25
11/28/2025 07:50:04,24636.50
11/28/2025 07:50:04,24627.00
11/28/2025 07:50:04,24621.25
11/28/2025 07:50:04,24627.00
11/28/2025 07:50:04,24611.50
11/28/2025 07:50:04,24602.50
11/28/2025 07:50:04,24609.75
11/28/2025 07:50:04,24614.00
11/28/2025 07:50:04,24622.75
11/28/2025 07:50:04,24624.50
11/28/2025 07:50:04,24624.75
11/28/2025 07:50:04,24637.00
11/28/2025 07:50:04,24614.25
11/28/2025 07:50:04,24595.00
11/28/2025 07:50:04,24599.50
11/28/2025 07:50:04,24587.25
11/28/2025 07:50:04,24580.50
11/28/2025 07:50:04,24588.75
11/28/2025 07:50:04,24597.00
11/28/2025 07:50:04,24598.25
11/28/2025 07:50:04,24597.75
11/28/2025 07:50:04,24597.50
11/28/2025 07:50:04,24592.75
11/28/2025 07:50:04,24585.50
11/28/2025 07:50:04,24569.00
11/28/2025 07:50:04,24593.00
11/28/2025 07:50:04,24599.75
11/28/2025 07:50:04,24569.50
11/28/2025 07:50:04,24563.50
11/28/2025 07:50:04,24554.75
11/28/2025 07:50:04,24557.50
11/28/2025 07:50:04,24549.75
11/28/2025 07:50:04,24547.00
11/28/2025 07:50:04,24555.00
11/28/2025 07:50:04,24554.25
11/28/2025 07:50:04,24544.00
11/28/2025 07:50:04,24550.50
11/28/2025 07:50:04,24553.75
11/28/2025 07:50:04,24576.75
11/28/2025 07:50:04,24573.50
11/28/2025 07:50:04,24579.00
11/28/2025 07:50:04,24575.00
11/28/2025 07:50:04,24552.25
11/28/2025 07:50:04,24551.25
11/28/2025 07:50:04,24537.25
11/28/2025 07:50:04,24532.50
11/28/2025 07:50:04,24528.00
11/28/2025 07:50:04,24515.50
11/28/2025 07:50:04,24538.50
11/28/2025 07:50:04,24526.50
11/28/2025 07:50:04,24538.25
11/28/2025 07:50:04,24548.00
11/28/2025 07:50:04,24526.25
11/28/2025 07:50:04,24520.50
11/28/2025 07:50:04,24498.00
11/28/2025 07:50:04,24502.25
11/28/2025 07:50:04,24508.25
11/28/2025 07:50:04,24489.00
11/28/2025 07:50:04,24474.50
11/28/2025 07:50:04,24464.25
11/28/2025 07:50:04,24468.25
11/28/2025 07:50:04,24470.75
11/28/2025 07:50:04,24477.00
11/28/2025 07:50:04,24464.75
11/28/2025 07:50:04,24462.50
11/28/2025 07:50:04,24458.75
11/28/2025 07:50:04,24468.00
11/28/2025 07:50:04,24455.00
11/28/2025 07:50:04,24453.50
11/28/2025 07:50:04,24438.50
11/28/2025 07:50:04,24440.00
11/28/2025 07:50:04,24443.00
11/28/2025 07:50:04,24433.75
11/28/2025 07:50:04,24443.25
11/28/2025 07:50:04,24445.50
